		PC	BP	SP	Stack
Initial values:	0	499	500

  LIT 0 1 	21	482	477	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 1 1 
  SUB 0 2 	24	482	478	0 0 0 0 1 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 0 
  STO 1 4 	27	482	479	0 0 0 0 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 
  LOD 1 4 	30	482	478	0 0 0 0 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 0 
  LIT 0 0 	33	482	477	0 0 0 0 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 0 0 
  EQL 0 5 	36	482	478	0 0 0 0 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 1 
  JPC 0 45 	39	482	479	0 0 0 0 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 
  LIT 0 1 	42	482	478	0 0 0 0 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 1 
  STO 1 3 	45	482	479	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 
  LOD 1 4 	48	482	478	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 0 
  LIT 0 0 	51	482	477	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 0 0 
  GTR 0 9 	54	482	478	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 0 
  JPC 0 60 	60	482	479	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 
  LOD 1 3 	63	482	478	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 1 
  LOD 0 3 	66	482	477	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 1 1 
  MUL 0 3 	69	482	478	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 1 
  STO 1 3 	72	482	479	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 | 499 486 60 1 
  RTN 0 0 	60	486	483	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  LOD 1 3 	63	486	482	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 
  LOD 0 3 	66	486	481	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 1 2 
  MUL 0 3 	69	486	482	0 0 0 1 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 2 
  STO 1 3 	72	486	483	0 0 0 2 0 | 499 499 87 4 | 499 494 60 3 | 499 490 60 2 
  RTN 0 0 	60	490	487	0 0 0 2 0 | 499 499 87 4 | 499 494 60 3 
  LOD 1 3 	63	490	486	0 0 0 2 0 | 499 499 87 4 | 499 494 60 3 2 
  LOD 0 3 	66	490	485	0 0 0 2 0 | 499 499 87 4 | 499 494 60 3 2 3 
  MUL 0 3 	69	490	486	0 0 0 2 0 | 499 499 87 4 | 499 494 60 3 6 
  STO 1 3 	72	490	487	0 0 0 6 0 | 499 499 87 4 | 499 494 60 3 
  RTN 0 0 	60	494	491	0 0 0 6 0 | 499 499 87 4 
  LOD 1 3 	63	494	490	0 0 0 6 0 | 499 499 87 4 6 
  LOD 0 3 	66	494	489	0 0 0 6 0 | 499 499 87 4 6 4 
  MUL 0 3 	69	494	490	0 0 0 6 0 | 499 499 87 4 24 
  STO 1 3 	72	494	491	0 0 0 24 0 | 499 499 87 4 
  RTN 0 0 	87	499	495	0 0 0 24 0 
  LOD 0 3 	90	499	494	0 0 0 24 0 24 
Output is: 24
  SOU 0 1 	93	499	495	0 0 0 24 0 
  EOP 0 3 	96	499	495	0 0 0 24 0 
